Product,Asset Type,File Name,Relative Path,Recommended Shopify Use,Launch State,Notes
"Expert-to-Influencer Content Engine","PDF","Expert_to_Influencer_Content_Engine.pdf","03_Upload_Files/Product_PDFs/Expert_to_Influencer_Content_Engine.pdf","Supporting file, founder reference, or gated file","live-ready","Best first end-to-end Shopify test candidate."
"Expert-to-Influencer Content Engine","ZIP","01-expert-to-influencer-content-engine.zip","03_Upload_Files/Digital_Delivery_ZIPs/01-expert-to-influencer-content-engine.zip","Primary digital delivery file","live-ready","Attach through a digital delivery app before activation."
"EcoR Toolkit Starter","ZIP","EcoR_Toolkit_Starter_29USD.zip","03_Upload_Files/Digital_Delivery_ZIPs/EcoR_Toolkit_Starter_29USD.zip","Tier-specific digital delivery file","draft-first","Do not activate publicly until delivery flow is tested."
"EcoR Toolkit Complete","ZIP","EcoR_Toolkit_Complete_97USD.zip","03_Upload_Files/Digital_Delivery_ZIPs/EcoR_Toolkit_Complete_97USD.zip","Tier-specific digital delivery file","draft-first","This is the main EcoR offer."
"EcoR Toolkit Pro Bundle","ZIP","EcoR_Toolkit_Pro_297USD.zip","03_Upload_Files/Digital_Delivery_ZIPs/EcoR_Toolkit_Pro_297USD.zip","Tier-specific digital delivery file","draft-first","Do not activate until support workflow is operational."
"Training-to-Quiz Generator","PDF","OPLURIX_Product2_Training_to_Quiz_Generator.pdf","03_Upload_Files/Product_PDFs/OPLURIX_Product2_Training_to_Quiz_Generator.pdf","Supporting asset or preview file","coming-soon","Use for a coming-soon page or internal review."
"Training-to-Quiz Generator","ZIP","02-training-to-quiz-generator.zip","03_Upload_Files/Digital_Delivery_ZIPs/02-training-to-quiz-generator.zip","Primary digital delivery file","coming-soon","Keep in draft until delivery is tested."
"Biodiversity Pitch Deck Builder","PDF","OPLURIX_Product4_Biodiversity_Pitch_Deck_Builder.pdf","03_Upload_Files/Product_PDFs/OPLURIX_Product4_Biodiversity_Pitch_Deck_Builder.pdf","Supporting asset or preview file","coming-soon","Use for preview or internal review."
"Biodiversity Pitch Deck Builder","ZIP","04-biodiversity-pitch-deck-builder.zip","03_Upload_Files/Digital_Delivery_ZIPs/04-biodiversity-pitch-deck-builder.zip","Primary digital delivery file","coming-soon","Keep in draft until delivery is tested."
"Gear & Equipment Concierge","PDF","OPLURIX_Product3_Gear_Equipment_Concierge.pdf","03_Upload_Files/Product_PDFs/OPLURIX_Product3_Gear_Equipment_Concierge.pdf","Source-only reference file","source-only","Do not activate checkout yet."
"Gear & Equipment Concierge","ZIP","03-gear-equipment-concierge.zip","03_Upload_Files/Digital_Delivery_ZIPs/03-gear-equipment-concierge.zip","Source-only delivery preview","source-only","Use only if founder promotes this product."
"Handwritten Log Digitizer","PDF","OPLURIX_Product5_Handwritten_Log_Digitizer.pdf","03_Upload_Files/Product_PDFs/OPLURIX_Product5_Handwritten_Log_Digitizer.pdf","Source-only reference file","source-only","Do not activate checkout yet."
"Handwritten Log Digitizer","ZIP","05-handwritten-log-digitizer.zip","03_Upload_Files/Digital_Delivery_ZIPs/05-handwritten-log-digitizer.zip","Source-only delivery preview","source-only","Use only if founder promotes this product."
"Field Mission Planner","PDF","OPLURIX_Product6_Field_Mission_Planner.pdf","03_Upload_Files/Product_PDFs/OPLURIX_Product6_Field_Mission_Planner.pdf","Source-only reference file","source-only","Do not activate checkout yet."
"Field Mission Planner","ZIP","06-field-mission-planner.zip","03_Upload_Files/Digital_Delivery_ZIPs/06-field-mission-planner.zip","Source-only delivery preview","source-only","Use only if founder promotes this product."
"Biodiversity Data Harmonizer","PDF","OPLURIX_Product7_Biodiversity_Data_Harmonizer.pdf","03_Upload_Files/Product_PDFs/OPLURIX_Product7_Biodiversity_Data_Harmonizer.pdf","Source-only reference file","source-only","Do not activate checkout yet."
"Biodiversity Data Harmonizer","ZIP","07-biodiversity-data-harmonizer.zip","03_Upload_Files/Digital_Delivery_ZIPs/07-biodiversity-data-harmonizer.zip","Source-only delivery preview","source-only","Use only if founder promotes this product."
"Thermal Data Translator","PDF","OPLURIX_Product8_Thermal_Data_Translator.pdf","03_Upload_Files/Product_PDFs/OPLURIX_Product8_Thermal_Data_Translator.pdf","Source-only reference file","source-only","Do not activate checkout yet."
"Thermal Data Translator","ZIP","08-thermal-data-translator.zip","03_Upload_Files/Digital_Delivery_ZIPs/08-thermal-data-translator.zip","Source-only delivery preview","source-only","Use only if founder promotes this product."
"Grant Writing Co-Pilot","PDF","OPLURIX_Product9_Grant_Writing_CoPilot.pdf","03_Upload_Files/Product_PDFs/OPLURIX_Product9_Grant_Writing_CoPilot.pdf","Source-only reference file","source-only","Do not activate checkout yet."
"Grant Writing Co-Pilot","ZIP","09-grant-writing-co-pilot.zip","03_Upload_Files/Digital_Delivery_ZIPs/09-grant-writing-co-pilot.zip","Source-only delivery preview","source-only","Use only if founder promotes this product."
"MRV Report Architect","PDF","OPLURIX_Product10_MRV_Report_Architect.pdf","03_Upload_Files/Product_PDFs/OPLURIX_Product10_MRV_Report_Architect.pdf","Source-only reference file","source-only","Do not activate checkout yet."
"MRV Report Architect","ZIP","10-mrv-report-architect.zip","03_Upload_Files/Digital_Delivery_ZIPs/10-mrv-report-architect.zip","Source-only delivery preview","source-only","Use only if founder promotes this product."
